Graph Index,Variance,,,,,Standard Deviation,,,,,,
0,850.0872727,,,,,29.15625615,,,,,,
1,806.8737374,,,,,28.40552301,,,,,,
2,511.8378535,,,,,22.62383375,,,,,,
3,621.6408838,,,,,24.93272716,,,,,,
4,784.2954545,,,,,28.00527548,,,,,,
5,721.6589899,,,,,26.86371139,,,,,,
6,975.3243434,,,,,31.23018321,,,,,,
7,1109.087753,,,,,33.30296912,,,,,,
8,830.6079545,,,,,28.82026986,,,,,,
9,798.4631061,,,,,28.25708948,,,,,,
10,112.8625253,,,,,10.62367758,,,,,,
11,129.7112121,,,,,11.38908302,,,,,,
12,117.8458586,,,,,10.85568324,,,,,,
13,108.7291667,,,,,10.42732788,,,,,,
14,54.63825758,,,,,7.391769584,,,,,,
15,94.14,,,,,9.702576977,,,,,,
16,246.9293939,,,,,15.71398721,,,,,,
17,113.1913131,,,,,10.63914062,,,,,,
18,103.402298,,,,,10.16869205,,,,,,
19,106.6708081,,,,,10.32815608,,,,,,
20,35.2265404,,,,,5.93519506,,,,,,
21,30.55747475,,,,,5.527881579,,,,,,
22,29.48169192,,,,,5.429704589,,,,,,
23,24.4620202,,,,,4.945909441,,,,,,
24,40.63563131,,,,,6.374608326,,,,,,
25,23.04088384,,,,,4.800092066,,,,,,
26,28.74747475,,,,,5.361667161,,,,,,
27,25.19383838,,,,,5.01934641,,,,,,
28,34.85482323,,,,,5.903797357,,,,,,
29,22.04189394,,,,,4.694879545,,,,,,
30,9.051111111,,,,,3.008506459,,,,,,
31,12.74088384,,,,,3.569437468,,,,,,
32,12.64555556,,,,,3.556058992,,,,,,
33,12.24189394,,,,,3.4988418,,,,,,
34,12.1879798,,,,,3.491128728,,,,,,
35,13.35868687,,,,,3.654953744,,,,,,
36,12.51767677,,,,,3.538032895,,,,,,
37,11.18676768,,,,,3.344662565,,,,,,
38,14.25805556,,,,,3.775984051,,,,,,
39,11.98484848,,,,,3.461913992,,,,,,
